"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,-0.384975851619472,0.705029278916182
"intero","verum_prepost_pairedt",17,1.73006758765096,0.10285685240923
"extero","placebo_prepost_pairedt",18,-0.277198282407022,0.784970355512952
"extero","verum_prepost_pairedt",17,2.3671758933435,0.0308676725161429
"mental","placebo_prepost_pairedt",18,-0.472462770556504,0.642605006923877
"mental","verum_prepost_pairedt",17,1.68145577608484,0.112086599887102
"visual","placebo_prepost_pairedt",18,0.849695573309919,0.407301985796498
"visual","verum_prepost_pairedt",17,1.95797503899961,0.0679061285807969
"motor","placebo_prepost_pairedt",18,1.55780425817451,0.137700133751471
"motor","verum_prepost_pairedt",17,1.86082837841837,0.0812469935775331
"auditory","placebo_prepost_pairedt",18,0.650647626301027,0.523971247350412
"auditory","verum_prepost_pairedt",17,0.685782889292242,0.502666687744834
"Pooled","baseline_welch_t",35,0.820941786419119,0.418251623401694
"Pooled","baseline_mannwhitney",35,178,0.418733473186816
"Pooled","baseline_cohens_d",35,0.279980034060432,NA
"intero","baseline_welch_t",35,-0.131366623913904,0.896448069683131
"intero","baseline_mannwhitney",35,163,0.753865329868274
"intero","baseline_cohens_d",35,-0.044957204321828,NA
"extero","baseline_welch_t",35,0.974302018248048,0.336995338587677
"extero","baseline_mannwhitney",35,183,0.330232792992423
"extero","baseline_cohens_d",35,0.328857437127084,NA
"mental","baseline_welch_t",35,0.541724821281903,0.591776920129492
"mental","baseline_mannwhitney",35,171,0.563543616078971
"mental","baseline_cohens_d",35,0.183918543500665,NA
"visual","baseline_welch_t",35,1.32221541930001,0.195423494067543
"visual","baseline_mannwhitney",35,196,0.160703626695364
"visual","baseline_cohens_d",35,0.448530489099277,NA
"motor","baseline_welch_t",35,0.785616900275429,0.43887902985112
"motor","baseline_mannwhitney",35,173,0.519837507716868
"motor","baseline_cohens_d",35,0.268899645703827,NA
"auditory","baseline_welch_t",35,-0.940845140967683,0.35443791124266
"auditory","baseline_mannwhitney",35,132,0.498659258049882
"auditory","baseline_cohens_d",35,-0.32092945021525,NA
